ID,model,engine_power,age_in_days,km,previous_owners,lat,lon,price,concadtBC,len(no_of_char),sumif,averageif,countifs
49,sport,51,3684,160000,1,45.4054718,10.27828979,4900,sport 51,5,8691.683762,24099.38339,1
50,sport,51,4596,107000,1,40.84590149,14.36927032,4300,sport 51,5,9003.215172,16572.45931,1
51,lounge,51,2192,66000,1,40.8401413,14.25226021,6999,lounge 51,6,2299.092402,10757.58463,1
52,sport,51,790,35000,1,45.33407974,11.37687016,10200,sport 51,5,898.7109499,6586.101564,1
53,pop,51,1186,24651,1,41.90322113,12.49565029,9300,pop 51,3,1292.398871,5035.056982,1
54,sport,62,3288,71900,1,41.06240082,14.27388,5990,sport 62,5,3406.336281,11614.33375,1
55,lounge,51,701,11200,1,46.17649841,9.903670311,10600,lounge 51,6,809.0801687,3230.582881,1
56,lounge,51,3288,124050,1,43.86997986,10.3398304,5500,lounge 51,6,3394.20981,18992.74426,1
57,pop,51,1066,69395,1,45.23141098,9.592889786,7450,pop 51,3,1172.824301,11145.68919,1
58,lounge,51,456,17961,1,45.39360046,10.48223972,10900,lounge 51,6,563.8758402,4204.267977,1
59,lounge,51,670,18669,1,45.0007019,7.68227005,10990,lounge 51,6,774.682972,4348.383282,1
60,pop,51,1431,22700,1,41.90322113,12.49565029,8900,pop 51,3,1537.398871,4734.199839,1
61,lounge,51,4169,56000,1,45.46796036,9.181779861,5900,lounge 51,6,4275.64974,9454.378534,1
62,lounge,51,701,22669,1,45.06967926,7.704919815,9500,lounge 51,6,805.7745991,4711.396371,1
63,pop,73,2557,50000,1,42.15787888,11.90227985,8250,pop 73,3,2685.060159,8705.294308,1
64,lounge,51,2343,39743,1,45.69522858,9.669509888,8800,lounge 51,6,2450.364738,7285.480677,1
65,lounge,51,456,27466,1,45.39360046,10.48223972,9800,lounge 51,6,563.8758402,5404.982263,1
66,lounge,51,548,22609,1,45.6958313,9.180390358,9900,lounge 51,6,654.8762217,4738.410889,1
67,pop,51,1461,94485,1,44.50883865,11.46907997,7450,pop 51,3,1568.977919,14786.56827,1
68,sport,51,4261,188000,1,41.06240082,14.27388,4490,sport 51,5,8858.336281,28123.1909,1
69,lounge,51,2343,94000,1,45.43811035,12.31814957,7400,lounge 51,6,2452.75626,14836.82232,1
70,pop,51,2192,60786,1,43.9381218,10.91257954,7900,pop 51,3,2298.850701,10140.97867,1
71,pop,51,1096,41950,1,41.66950989,12.50222969,10700,pop 51,3,1202.17174,7693.453106,1
72,lounge,51,456,16971,1,45.39360046,10.48223972,10900,lounge 51,6,563.8758402,4062.839406,1
73,lounge,51,4108,45300,1,41.29956055,13.03258991,7400,lounge 51,6,4214.33215,8131.333164,1
74,lounge,51,4108,45300,1,41.29956055,13.03258991,7400,lounge 51,6,4214.33215,8131.333164,1
75,lounge,51,3227,75359,1,45.06967926,7.704919815,7800,lounge 51,6,3331.774599,12356.53923,1
76,lounge,51,366,12585,1,45.06967926,7.704919815,9900,lounge 51,6,470.7745991,3280.110657,1
77,pop,62,2101,103000,1,45.79785919,8.644439697,7900,pop 62,3,2218.442299,16160.06319,1
78,sport,51,2739,77149,3,44.75489044,8.031900406,7800,sport 51,5,2845.786791,10974.97335,0
79,lounge,51,456,13587,3,45.39360046,10.48223972,10900,lounge 51,6,565.8758402,3132.35948,0
80,lounge,51,1797,55595,3,45.76697922,11.73840046,7800,lounge 51,6,1908.50538,8163.688172,0
81,lounge,51,397,17250,3,45.06967926,7.704919815,10050,lounge 51,6,503.7745991,3476.221825,0
82,sport,51,4292,145000,3,41.06240082,14.27388,4799,sport 51,5,9200.336281,19275.66704,0
83,lounge,51,790,20849,1,41.90322113,12.49565029,8100,lounge 51,6,896.3988714,4264.342696,1
84,lounge,51,3988,107375,1,41.37656021,14.07629967,5800,lounge 51,6,4095.45286,16753.63612,1
85,pop,63,2009,100000,1,45.31818008,9.105690002,7500,pop 63,3,2127.42387,15661.34627,1
86,lounge,51,456,17841,1,45.39360046,10.48223972,10900,lounge 51,6,563.8758402,4187.12512,1
87,lounge,51,762,44778,1,45.5712204,9.159139633,9390,lounge 51,6,868.73036,7863.104337,1
88,pop,51,3258,78681,1,45.67927933,9.237190247,7490,pop 51,3,3364.91647,12791.13092,1
89,pop,51,4474,123000,1,40.63317108,17.63460922,4900,pop 51,3,9484.26778,18926.60968,1
90,lounge,51,397,17912,1,41.83264923,12.75259972,9970,lounge 51,6,503.585249,4055.797893,1
91,lounge,51,1066,69916,1,41.80298996,12.59893036,8980,lounge 51,6,1172.40192,11439.05742,1
92,lounge,51,2647,97700,1,44.50883865,11.46907997,7450,lounge 51,6,2754.977919,15415.71113,1
93,pop,51,366,11500,1,45.70724869,11.4776001,9500,pop 51,3,475.1848488,3068.169264,1
94,lounge,51,397,17250,1,45.46796036,9.181779861,10050,lounge 51,6,503.6497402,3972.664249,1
95,lounge,51,366,12372,1,38.91444016,16.58436012,10465,lounge 51,6,473.4988003,3330.785543,1
